Site,URL,Site Checkup Done?,Premium Hosting,SEO Monitoring,90 day views,End Client,New Server,IP Address,Username,DB Name,DB URL,Cloudflare?,Site Origin,Analytics Team Code,PHP V.,DNS Access?,VC/WBP?,Events Cal?,Rev. Slider?,Coverage Test?,DMARC Policy
ABYC,abycinc.org,YES,YES,YES,,Code Chameleon,Server 2,152.53.167.212,abyc,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC recreated,team_BCrMZaaIXAZkwwfh,8.3,Yes,,,,,
ACRES 200 ER,acres200er.org,N/A,N/A,N/A,,Code Chameleon,Server 2,152.53.167.212,acres200,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,Free WP theme + Plugins,3S145cBg2Lwzs4KJ,8.3,Yes,,,,,
ACRES Land Trust,acreslandtrust.org,,,,,Code Chameleon,Server 2,152.53.167.212,acres,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,3S145cBg2Lwzs4KJ,8.3,Yes,,Yes,,,
Audiences Unlimited,audiencesunlimited.org,,,,,Code Chameleon,Server 1,152.53.91.84,audiencesunlimited,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
Barber Room,barberroom.org,,,,,Code Chameleon,Server 1,152.53.91.84,barberroom,Check wp-config.php,https://ccadmin.codechameleon.com/db/,TBD,Ivo Created,N/A,8.3,Yes (Ivo),,,,,
Belt Magazine,beltmag.com,,,,,Code Chameleon,Server 2,152.53.167.212,beltmag,,,,Avada WP Theme,mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
Better Organized Landing,betterorgspaces.com,,,,,Code Chameleon,Server 1,152.53.91.84,boslanding,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.3,NO,,,,N/A,
BOS Garage Floors,bosgaragefloors.com,,,,,Code Chameleon,Server 1,152.53.91.84,bosgaragefloors,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
C3 Indy,c3indy.com,,,,,Code Chameleon,Server 1,152.53.91.84,c3indy,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,Yes,,,,
Cedar Creek ACRES,cedarcreek.acreslandtrust.org,N/A,N/A,N/A,,Code Chameleon,Server 2,152.53.167.212,acrescedar,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,Free WP theme + Plugins,3S145cBg2Lwzs4KJ,8.3,Yes,,,,,
Code Chameleon,codechameleon.com,YES,YES,YES,,Code Chameleon,Server 2,152.53.167.212,codechameleon,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,,,,Yes,
CTN,ridectn.org,,,,,Code Chameleon,Server 2,152.53.167.212,ridectn,Check wp-config.php,https://ccadmin.codechameleon.com/db/,UNKNOWN,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
DW Marketing,donorwrangler.com,YES,YES,YES,,Code Chameleon,Server 2,152.53.167.212,dwmarketing,,,,CC created,bjciOPbVpvhKnssP,8.3,Yes,,,,,v=DMARC1; p=reject; ruf=mailto:support@donorwrangler.com;
Fort Wayne Youtheatre,fwyt.org,YES,,,,Code Chameleon,Server 2,152.53.167.212,fwyt,,,,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
FUSE NEI,fusenei.com,,,,,Code Chameleon,Server 1,152.53.91.84,fusenei,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,"OLG, Tommy Cutter",mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
FW Dance Collective,fwdc.org,YES,YES,,,Code Chameleon,Server 2,152.53.167.212,fwdc,Check wp-config.php,https://ccadmin.codechameleon.com/db/,TBD,CC created,5YIswYchVtiHSsME,8.3,Yes,,Yes,,,
FW Trails,fwtrails.org,,,,,Code Chameleon,Server 2,152.53.167.212,fwt,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,,,,,
Health Advo Pro,healthadvopro.com,,,,,Code Chameleon,Server 1,152.53.91.84,healthadvopro,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,Yes,,,,
Historic FW,oldfortwayne.org,,,,,Code Chameleon,Server 2,152.53.167.212,oldfortwayne,Check wp-config.php,https://ccadmin.codechameleon.com/db/,Yes,CC created,mbiJwNAKA4j1rFMh,8.3,Yes,Yes,,,,
